50,1225
4,31,7
4,32,6
4,33,5
4,34,1
4,35,14
4,36,3
4,37,15
4,38,5
4,39,5
4,40,14
4,41,19
4,42,18
4,43,1
4,44,12
4,45,17
4,46,1
4,47,0
4,48,17
4,49,7
5,6,19
5,7,2
5,8,16
5,9,0
5,10,5
5,11,11
5,12,6
5,13,13
5,14,15
5,15,1
5,16,7
5,17,13
5,18,6
5,19,6
5,20,4
5,21,15
5,22,15
5,23,1
5,24,19
5,25,17
5,26,9
5,27,10
5,28,11
5,29,13
5,30,16
5,31,10
5,32,13
5,33,4
5,34,0
5,35,15
5,36,10
5,37,8
5,38,16
5,39,13
5,40,3
5,41,14
5,42,15
5,43,8
5,44,8
5,45,3
5,46,1
5,47,13
5,48,15
5,49,11
6,7,10
6,8,3
6,9,2
6,10,17
6,11,5
6,12,5
6,13,16
6,14,9
6,15,14
6,16,18
6,17,15
6,18,16
6,19,10
6,20,17
6,21,10
6,22,0
6,23,9
6,24,1
6,25,10
6,26,8
6,27,10
6,28,0
6,29,14
6,30,9
6,31,0
6,32,10
6,33,0
6,34,10
6,35,0
6,36,6
6,37,7
6,38,16
6,39,2
6,40,11
6,41,13
6,42,6
6,43,16
6,44,14
6,45,3
6,46,15
6,47,1
6,48,9
6,49,11
7,8,6
7,9,1
7,10,7
7,11,17
7,12,13
7,13,12
7,14,12
7,15,17
7,16,1
7,17,9
7,18,17
7,19,14
7,20,18
7,21,2
7,22,14
7,23,17
7,24,9
7,25,7
7,26,10
7,27,15
7,28,19
7,29,9
7,30,14
7,31,2
7,32,0
7,33,9
7,34,10
7,35,9
7,36,2
7,37,0
7,38,19
7,39,2
7,40,16
7,41,16
7,42,10
7,43,5
7,44,7
7,45,2
7,46,13
7,47,12
7,48,1
7,49,13
8,9,18
8,10,5
8,11,15
8,12,10
8,13,10
8,14,6
8,15,8
8,16,18
8,17,3
8,18,8
8,19,11
8,20,6
8,21,10
8,22,7
8,23,19
8,24,10
8,25,1
8,26,19
8,27,13
8,28,15
8,29,7
8,30,10
8,31,16
8,32,0
8,33,7
8,34,9
8,35,5
8,36,2
8,37,14
8,38,17
8,39,1
8,40,7
8,41,17
8,42,19
8,43,3
8,44,5
8,45,7
8,46,9
8,47,12
8,48,5
8,49,12
9,10,11
9,11,1
9,12,19
9,13,4
9,14,5
9,15,7
9,16,5
9,17,6
9,18,0
9,19,15
9,20,0
9,21,14
9,22,11
9,23,1
9,24,0
9,25,16
9,26,13
9,27,15
9,28,13
9,29,18
9,30,3
9,31,13
9,32,17
9,33,19
9,34,9
9,35,19
9,36,5
9,37,14
9,38,10
9,39,0
9,40,18
9,41,19
9,42,0
9,43,6
9,44,18
9,45,4
9,46,3
9,47,9
9,48,8
9,49,8
10,11,3
10,12,10
10,13,18
10,14,2
10,15,9
10,16,11
10,17,17
10,18,4
10,19,1
10,20,1
10,21,19
10,22,1
10,23,17
10,24,2
10,25,8
10,26,14
10,27,12
10,28,9
10,29,6
10,30,5
10,31,6
10,32,0
10,33,15
10,34,8
10,35,3
10,36,13
10,37,19
10,38,10
10,39,3
10,40,8
10,41,11
10,42,2
10,43,2
10,44,4
10,45,19
10,46,18
10,47,10
10,48,2
10,49,13
11,12,4
11,13,8
11,14,10
11,15,8
11,16,18
11,17,19
11,18,11
11,19,11
11,20,3
11,21,12
11,22,3
11,23,17
11,24,18
11,25,13
11,26,17
11,27,9
11,28,1
11,29,13
11,30,13
11,31,17
11,32,3
11,33,13
11,34,3
11,35,14
11,36,6
11,37,0
11,38,14
11,39,18
11,40,19
11,41,10
11,42,7
11,43,11
11,44,19
11,45,15
11,46,3
11,47,15
11,48,17
11,49,19
12,13,14
12,14,3
12,15,10
12,16,17
12,17,13
12,18,5
12,19,14
12,20,17
12,21,14
12,22,8
12,23,0
12,24,9
12,25,4
12,26,14
12,27,7
12,28,6
12,29,3
12,30,11
12,31,15
12,32,5
12,33,1
12,34,2
12,35,15
12,36,11
12,37,19
12,38,13
12,39,14
12,40,0
12,41,0
12,42,19
12,43,0
12,44,12
12,45,3
12,46,17
12,47,14
12,48,1
12,49,14
13,14,3
13,15,10
13,16,6
13,17,16
13,18,17
13,19,19
13,20,11
13,21,3
13,22,13
13,23,1
13,24,17
13,25,19
13,26,6
13,27,3
13,28,5
13,29,16
13,30,6
13,31,16
13,32,13
13,33,2
13,34,7
13,35,13
13,36,16
13,37,1
13,38,6
13,39,16
13,40,13
13,41,14
13,42,10
13,43,6
13,44,15
13,45,14
13,46,5
13,47,0
13,48,5
13,49,0
14,15,16
14,16,9
14,17,9
14,18,6
14,19,2
14,20,16
14,21,19
14,22,3
14,23,19
14,24,14
14,25,10
14,26,7
14,27,7
14,28,11
14,29,0
14,30,9
14,31,8
14,32,3
14,33,10
14,34,15
14,35,10
14,36,1
14,37,2
14,38,19
14,39,0
14,40,11
14,41,6
14,42,15
14,43,12
14,44,2
14,45,7
14,46,16
14,47,11
14,48,10
14,49,10
15,16,7
15,17,11
15,18,11
15,19,7
15,20,7
15,21,5
15,22,1
15,23,5
15,24,14
15,25,11
15,26,13
15,27,11
15,28,5
15,29,3
15,30,5
15,31,5
15,32,13
15,33,5
15,34,8
15,35,19
15,36,1
15,37,17
15,38,14
15,39,8
15,40,9
15,41,8
15,42,14
15,43,8
15,44,14
15,45,14
15,46,3
15,47,1
15,48,2
15,49,4
16,17,3
16,18,3
16,19,4
16,20,7
16,21,14
16,22,6
16,23,9
16,24,7
16,25,19
16,26,18
16,27,3
16,28,8
16,29,5
16,30,2
16,31,18
16,32,5
16,33,11
16,34,5
16,35,1
16,36,11
16,37,2
16,38,17
16,39,9
16,40,13
16,41,13
16,42,13
16,43,2
16,44,11
16,45,4
16,46,18
16,47,4
16,48,2
16,49,4
17,18,14
17,19,9
17,20,4
17,21,18
17,22,9
17,23,7
17,24,8
17,25,14
17,26,5
17,27,11
17,28,13
17,29,3
17,30,3
17,31,12
17,32,5
17,33,8
17,34,19
17,35,18
17,36,16
17,37,17
17,38,9
17,39,19
17,40,19
17,41,14
17,42,4
17,43,15
17,44,19
17,45,17
17,46,13
17,47,1
17,48,2
17,49,11
18,19,19
18,20,5
18,21,9
18,22,6
18,23,16
18,24,8
18,25,15
18,26,10
18,27,6
18,28,4
18,29,0
18,30,9
18,31,13
18,32,2
18,33,9
18,34,1
18,35,1
18,36,18
18,37,13
18,38,9
18,39,13
18,40,2
18,41,14
18,42,12
18,43,11
18,44,9
18,45,19
18,46,15
18,47,5
18,48,8
18,49,11
19,20,15
19,21,14
19,22,15
19,23,19
19,24,19
19,25,4
19,26,0
19,27,18
19,28,7
19,29,16
19,30,6
19,31,1
19,32,7
19,33,13
19,34,4
19,35,12
19,36,9
19,37,19
19,38,8
19,39,12
19,40,0
19,41,10
19,42,18
19,43,9
19,44,0
19,45,0
19,46,2
19,47,19
19,48,11
19,49,9
20,21,16
20,22,9
20,23,12
20,24,7
20,25,7
20,26,1
20,27,4
20,28,4
20,29,19
20,30,18
20,31,9
20,32,14
20,33,17
20,34,17
20,35,8
20,36,12
20,37,0
20,38,4
20,39,16
20,40,17
20,41,9
20,42,10
20,43,13
20,44,18
20,45,2
20,46,4
20,47,1
20,48,15
20,49,11
21,22,10
21,23,14
21,24,13
21,25,2
21,26,16
21,27,14
21,28,6
21,29,17
21,30,3
21,31,18
21,32,9
21,33,5
21,34,16
21,35,6
21,36,1
21,37,14
21,38,15
21,39,14
21,40,3
21,41,18
21,42,4
21,43,7
21,44,6
21,45,17
21,46,11
21,47,2
21,48,5
21,49,8
22,23,16
22,24,12
22,25,6
22,26,16
22,27,16
22,28,12
22,29,17
22,30,16
22,31,7
22,32,1
22,33,18
22,34,11
22,35,11
22,36,14
22,37,12
22,38,13
22,39,5
22,40,5
22,41,0
22,42,13
22,43,8
22,44,4
22,45,1
22,46,3
22,47,6
22,48,18
22,49,14
23,24,5
23,25,3
23,26,17
23,27,13
23,28,13
23,29,18
23,30,18
23,31,10
23,32,11
23,33,17
23,34,12
23,35,13
23,36,12
23,37,14
23,38,2
23,39,2
23,40,10
23,41,8
23,42,5
23,43,13
23,44,12
23,45,15
23,46,15
23,47,8
23,48,6
23,49,8
24,25,11
24,26,16
24,27,0
24,28,9
24,29,11
24,30,6
24,31,10
24,32,1
24,33,7
24,34,1
24,35,1
24,36,12
24,37,3
24,38,5
24,39,5
24,40,4
24,41,14
24,42,11
24,43,14
24,44,9
24,45,13
24,46,12
24,47,14
24,48,9
24,49,15
25,26,13
25,27,3
25,28,6
25,29,9
25,30,1
25,31,17
25,32,15
25,33,8
25,34,8
25,35,11
25,36,2
25,37,10
25,38,6
25,39,13
25,40,4
25,41,13
25,42,15
25,43,8
25,44,9
25,45,13
25,46,12
25,47,9
25,48,1
25,49,12
26,27,16
26,28,16
26,29,2
26,30,10
26,31,10
26,32,18
26,33,16
26,34,16
26,35,7
26,36,11
26,37,8
26,38,19
26,39,4
26,40,16
26,41,10
26,42,0
26,43,17
26,44,17
26,45,3
26,46,15
26,47,19
26,48,19
26,49,19
27,28,18
27,29,14
27,30,0
27,31,19
27,32,12
27,33,15
27,34,11
27,35,18
27,36,15
27,37,15
27,38,10
27,39,16
27,40,13
27,41,6
27,42,19
27,43,18
27,44,9
27,45,12
27,46,18
27,47,5
27,48,18
27,49,16
28,29,13
28,30,14
28,31,4
28,32,7
28,33,3
28,34,18
28,35,6
28,36,6
28,37,10
28,38,3
28,39,17
28,40,17
28,41,19
28,42,19
28,43,10
28,44,6
28,45,17
28,46,7
28,47,17
28,48,15
28,49,17
29,30,6
29,31,12
29,32,18
29,33,14
29,34,5
29,35,17
29,36,15
29,37,19
29,38,11
29,39,13
29,40,0
29,41,8
29,42,5
29,43,7
29,44,14
29,45,14
29,46,18
29,47,1
29,48,16
29,49,9
30,31,14
30,32,9
30,33,8
30,34,18
30,35,16
30,36,5
30,37,15
30,38,9
30,39,18
30,40,12
30,41,13
30,42,9
30,43,1
30,44,9
30,45,11
30,46,17
30,47,16
30,48,16
30,49,8
31,32,18
31,33,2
31,34,17
31,35,4
31,36,0
31,37,15
31,38,11
31,39,15
31,40,4
31,41,5
31,42,16
31,43,11
31,44,4
31,45,12
31,46,17
31,47,2
31,48,2
31,49,15
32,33,11
32,34,13
32,35,2
32,36,9
32,37,12
32,38,2
32,39,19
32,40,18
32,41,19
32,42,7
32,43,3
32,44,3
32,45,7
32,46,18
32,47,11
32,48,4
32,49,14
33,34,12
33,35,0
33,36,19
33,37,10
33,38,12
33,39,12
33,40,12
33,41,2
33,42,5
33,43,13
33,44,7
33,45,17
33,46,18
33,47,18
33,48,3
33,49,13
34,35,16
34,36,2
34,37,1
34,38,16
34,39,19
34,40,14
34,41,9
34,42,0
34,43,19
34,44,6
34,45,7
34,46,5
34,47,5
34,48,11
34,49,13
35,36,3
35,37,5
35,38,19
35,39,1
35,40,15
35,41,3
35,42,2
35,43,15
35,44,8
35,45,18
35,46,8
35,47,3
35,48,16
35,49,16
36,37,4
36,38,2
36,39,5
36,40,8
36,41,2
36,42,19
36,43,19
36,44,9
36,45,8
36,46,11
36,47,9
36,48,6
36,49,6
37,38,1
37,39,7
37,40,18
37,41,14
37,42,4
37,43,8
37,44,7
37,45,18
37,46,17
37,47,0
37,48,8
37,49,11
38,39,14
38,40,4
38,41,17
38,42,8
38,43,8
38,44,2
38,45,2
38,46,19
38,47,17
38,48,4
38,49,4
39,40,4
39,41,7
39,42,9
39,43,8
39,44,19
39,45,8
39,46,12
39,47,8
39,48,9
39,49,11
40,41,5
40,42,10
40,43,11
40,44,18
40,45,13
40,46,19
40,47,8
40,48,19
40,49,19
41,42,5
41,43,13
41,44,5
41,45,14
41,46,17
41,47,11
41,48,14
41,49,0
42,43,16
42,44,8
42,45,4
42,46,9
42,47,0
42,48,9
42,49,15
43,44,13
43,45,19
43,46,10
43,47,14
43,48,19
43,49,4
44,45,10
44,46,4
44,47,5
44,48,3
44,49,8
45,46,4
45,47,7
45,48,15
45,49,8
46,47,16
46,48,1
46,49,11
47,48,18
47,49,6
48,49,10
